Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
speaker-tmkdb,Running,metallb-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
mongodb-enterprise-operator-5d66cb85fc-tpfgm,Running,mongodb,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.3
ebrc-monit-influxdb-686447bb8b-qlphl,Running,monitoring,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.19
nginx-7848d4b86f-n77nh,Running,monitoring,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.73
nginx-7848d4b86f-w69td,Running,monitoring,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.20
node-feature-discovery-master-84c67dcbb6-xb5sz,Running,node-feature-discovery,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.200
node-feature-discovery-worker-bnjpw,Running,node-feature-discovery,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.204
node-feature-discovery-worker-nbqzs,Running,node-feature-discovery,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.83
node-feature-discovery-worker-qq5bn,Running,node-feature-discovery,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.16
node-feature-discovery-worker-sxkln,Running,node-feature-discovery,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.24
pg-backup-1,Running,postgresql-operator-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.27
pg-backup-2,Running,postgresql-operator-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.94
pg-backup-3,Running,postgresql-operator-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.31
postgresql-operator-controller-manager-58bf9f6f9b-fx564,Running,postgresql-operator-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.20
bitnami-sealed-secrets-8468f8d596-wnhn4,Running,sealed-secrets,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.82
nginx-7848d4b86f-drlnr,Running,testns,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.1
nginx-7848d4b86f-f79gb,Running,testns,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.9
tigera-operator-d499f5c8f-22hzd,Running,tigera-operator,kaas-8002-fullvsphere-control-plane-84mh8,10,10.208.3.12,10.208.3.12
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,3,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,4,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-4q9n2,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.70
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,4,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,3,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,9,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,4,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,0,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,0,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-96nt7,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,4,10.208.3.13,10.170.11.71
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,3,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.202
vsphere-csi-controller-7ffd6884cc-vtplj,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,7,10.208.3.14,10.170.14.202
vsphere-csi-node-4sqmn,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
vsphere-csi-node-4sqmn,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
vsphere-csi-node-4sqmn,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
vsphere-csi-node-cfbdv,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,2,10.208.3.13,10.208.3.13
vsphere-csi-node-cfbdv,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,4,10.208.3.13,10.208.3.13
vsphere-csi-node-cfbdv,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-j6hfv,6,10.208.3.13,10.208.3.13
vsphere-csi-node-k4crf,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,3,10.208.3.12,10.208.3.12
vsphere-csi-node-k4crf,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,5,10.208.3.12,10.208.3.12
vsphere-csi-node-k4crf,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-84mh8,7,10.208.3.12,10.208.3.12
vsphere-csi-node-rls9s,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
vsphere-csi-node-rls9s,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
vsphere-csi-node-rls9s,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
vsphere-csi-node-sd5tt,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,2,10.208.3.14,10.208.3.14
vsphere-csi-node-sd5tt,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,4,10.208.3.14,10.208.3.14
vsphere-csi-node-sd5tt,Running,vmware-system-csi,kaas-8002-fullvsphere-control-plane-qqzgf,6,10.208.3.14,10.208.3.14
vsphere-csi-node-vpzfg,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
vsphere-csi-node-vpzfg,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
vsphere-csi-node-vpzfg,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
vsphere-csi-node-w2szp,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
vsphere-csi-node-w2szp,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
vsphere-csi-node-w2szp,Running,vmware-system-csi,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
